filename,artist,title,songLength,upload_status,upload_time,box_file_id,lrc_box_file_id
Alice In Chains - Grind.m4a,Alice In Chains,Grind,284.64,uploaded,2024-11-12 10:13:29,1698293735459,1698290554976
Alice In Chains - Heaven Beside You.m4a,Alice In Chains,Heaven Beside You,327.89,uploaded,2024-11-12 10:13:39,1698334028567,1698319065207
Alice In Chains - I Stay Away.m4a,Alice In Chains,I Stay Away,254.4,uploaded,2024-11-12 10:13:46,1698299049041,1698302562941
Alice In Chains - Man in the Box.m4a,Alice In Chains,Man in the Box,285.2,uploaded,2024-11-12 10:13:56,1698293973466,1698297918015
Alice In Chains - No Excuses.m4a,Alice In Chains,No Excuses,255.57,uploaded,2024-11-12 10:14:02,1698332219130,1698321409250
Alice In Chains - Over Now.m4a,Alice In Chains,Over Now,423.64,uploaded,2024-11-12 10:14:14,1698333501147,1698300483696
Alice In Chains - Rooster.m4a,Alice In Chains,Rooster,374.33,uploaded,2024-11-12 10:14:26,1698324673247,1698297071250
Alice In Chains - Sea Of Sorrow.m4a,Alice In Chains,Sea Of Sorrow,349.75,uploaded,2024-11-12 10:14:37,1698332658715,1698288460477
Alice In Chains - What the Hell Have I.m4a,Alice In Chains,What the Hell Have I,237.16,uploaded,2024-11-12 10:14:43,1698291527262,1698320934242
Alice In Chains - Would.m4a,Alice In Chains,Would?,206.77,uploaded,2024-11-12 10:14:52,1698294539459,1700835248940
Asia - Days Like These.m4a,Asia,Days Like These,244.63,uploaded,2024-11-12 10:14:57,1698297822139,1698295832455
Athenaeum - What I Didn't Know.m4a,Athenaeum,What I Didn't Know,218.44,uploaded,2024-11-12 10:15:05,1698326889445,pending
Bad Company - Boys Cry Tough.m4a,Bad Company,Boys Cry Tough,334.57,uploaded,2024-11-12 10:15:12,1698332329672,1698316042965
Bad Company - Holy Water.m4a,Bad Company,Holy Water,246.24,uploaded,2024-11-12 10:15:19,1698292278994,1698333482264
Bad Company - How About That.m4a,Bad Company,How About That,326.71,uploaded,2024-11-12 10:15:27,1698293015807,1698315896810
