128,Out In The Cold,Tom Petty And The Heartbreakers,1,1991
129,Drive,R.E.M.,1,1992
130,Bittersweet,Fuel,1,1998
131,Even Better Than The Real Thing,U2,1,1992
132,Got You (Where I Want You),The Flys,3,1998
133,Runaround,Van Halen,1,1991
134,Re-arranged,Limp Bizkit,1,1999
135,Big Me,Foo Fighters,1,1996
136,Why I'm Here,Oleander,3,1999
137,What's This Life For,Creed,1,1998
138,Stupid Girl,Garbage,1,1996
139,Higher,Creed,1,1999
140,Got No Shame,Brother Cane,1,1993
141,Zombie,The Cranberries,1,1994
142,Good,Better Than Ezra,1,1995
143,Until It Sleeps,Metallica,1,1996
144,Enter Sandman,Metallica,1,1991
145,Come Out And Play,The Offspring,1,1994
146,Blue Sky Mine,Midnight Oil,1,1990
147,Lit Up,Buckcherry,1,1999
148,End Of The Line,The Allman Brothers Band,1,1991
149,Brickyard Road,Johnny Van Zant,1,1990
150,Holy Water,Bad Company,1,1990
151,Signs Live,Tesla,1,1991
152,Down In A Hole,Alice In Chains,2,1993
153,Little Miss Can't Be Wrong,Spin Doctors,2,1992
154,Hero Of The Day,Metallica,1,1996
155,Wind Of Change,Scorpions,2,1991
156,Get A Leg Up,John Mellencamp,1,1991
157,Possum Kingdom,Toadies,3,1995
158,The Other Side,Aerosmith,1,1990
159,Freak On A Leash,KoRn,2,1999
160,Big Bang Baby,Stone Temple Pilots,1,1996
161,Top Of The World,Van Halen,1,1991
162,Counting Blue Cars,Dishwalla,1,1996
163,Turn My Head,Live,1,1997
164,Big Gun,AC/DC,1,1993
165,Ghost Of A Chance,Rush,1,1992
166,Mary Jane's Last Dance,Tom Petty And The Heartbreakers,1,1993
167,How's It Going To Be,Third Eye Blind,2,1998
168,Sting Me,The Black Crowes,1,1992
169,The Kids Aren't Alright,The Offspring,2,1999
170,The Way,Fastball,1,1998
171,Father Of Mine,Everclear,1,1998
172,The Freshmen,The Verve Pipe,1,1997
173,I'll Stick Around,Foo Fighters,1,1995
174,You Could Be Mine,Guns N' Roses,1,1991
175,The Impression That I Get,The Mighty Mighty Bosstones,2,1997
176,How About That,Bad Company,1,1992
177,Big Empty,Stone Temple Pilots,2,1994
178,Ignoreland,R.E.M.,1,1992
179,Brain Stew/Jaded,Green Day,1,1996
180,Monkey Wrench,Foo Fighters,1,1997
181,Deuces Are Wild,Aerosmith,2,1994
182,Celebrity Skin,Hole,1,1998
183,6 Underground,Sneaker Pimps,3,1997
184,Heaven Beside You,Alice In Chains,1,1996
185,The Fly,U2,1,1991
186,Two Princes,Spin Doctors,1,1993
187,I Alone,Live,2,1994
188,All Mixed Up,311,2,1997
189,My Hero,Foo Fighters,1,1998
190,Fell On Black Days,Soundgarden,4,1994
191,About A Girl,Nirvana,1,1994
192,Learn To Fly,Foo Fighters,1,1999
193,Fall Down,Toad The Wet Sprocket,2,1994
194,Hand In My Pocket,Alanis Morissette,1,1995
195,Amazing,Aerosmith,2,1993
196,Little Things,Bush,2,1995
197,Spoonman,Soundgarden,1,1994
198,Heavy Fuel,Dire Straits,1,1991
199,Cradle Of Love,Billy Idol,1,1990
200,Little Black Backpack,Stroke 9,2,1999
201,Everything To Everyone,Everclear,1,1997
202,Let's Get Rocked,Def Leppard,1,1992
203,Greedy Fly,Bush,1,1997
204,Black Gold,Soul Asylum,1,1993
205,Telephone Song,Vaughan Brothers,1,1990
206,Who's Gonna Ride Your Wild Horses,U2,1,1992
207,All Over You,Live,2,1995
